raceId;year;circuitId;name;date
826;1951;19;Indianapolis 500;30/05/1951
827;1951;13;Belgian Grand Prix;17/06/1951
828;1951;55;French Grand Prix;01/07/1951
829;1951;9;British Grand Prix;14/07/1951
830;1951;20;German Grand Prix;29/07/1951
831;1951;14;Italian Grand Prix;16/09/1951
832;1951;67;Spanish Grand Prix;28/10/1951
833;1950;9;British Grand Prix;13/05/1950
834;1950;6;Monaco Grand Prix;21/05/1950
835;1950;19;Indianapolis 500;30/05/1950
836;1950;66;Swiss Grand Prix;04/06/1950
837;1950;13;Belgian Grand Prix;18/06/1950
838;1950;55;French Grand Prix;02/07/1950
839;1950;14;Italian Grand Prix;03/09/1950
841;2011;1;Australian Grand Prix;27/03/2011
842;2011;2;Malaysian Grand Prix;10/04/2011
843;2011;17;Chinese Grand Prix;17/04/2011
844;2011;5;Turkish Grand Prix;08/05/2011
845;2011;4;Spanish Grand Prix;22/05/2011
846;2011;6;Monaco Grand Prix;29/05/2011
847;2011;7;Canadian Grand Prix;12/06/2011
848;2011;12;European Grand Prix;26/06/2011
849;2011;9;British Grand Prix;10/07/2011
850;2011;20;German Grand Prix;24/07/2011
851;2011;11;Hungarian Grand Prix;31/07/2011
852;2011;13;Belgian Grand Prix;28/08/2011
853;2011;14;Italian Grand Prix;11/09/2011
854;2011;15;Singapore Grand Prix;25/09/2011
855;2011;22;Japanese Grand Prix;09/10/2011
856;2011;35;Korean Grand Prix;16/10/2011
857;2011;68;Indian Grand Prix;30/10/2011
858;2011;24;Abu Dhabi Grand Prix;13/11/2011
859;2011;18;Brazilian Grand Prix;27/11/2011
860;2012;1;Australian Grand Prix;18/03/2012
861;2012;2;Malaysian Grand Prix;25/03/2012
862;2012;17;Chinese Grand Prix;15/04/2012
863;2012;3;Bahrain Grand Prix;22/04/2012
864;2012;4;Spanish Grand Prix;13/05/2012
865;2012;6;Monaco Grand Prix;27/05/2012
866;2012;7;Canadian Grand Prix;10/06/2012
867;2012;12;European Grand Prix;24/06/2012
868;2012;9;British Grand Prix;08/07/2012
869;2012;10;German Grand Prix;22/07/2012
870;2012;11;Hungarian Grand Prix;29/07/2012
871;2012;13;Belgian Grand Prix;02/09/2012
872;2012;14;Italian Grand Prix;09/09/2012
873;2012;15;Singapore Grand Prix;23/09/2012
874;2012;22;Japanese Grand Prix;07/10/2012
875;2012;35;Korean Grand Prix;14/10/2012
876;2012;68;Indian Grand Prix;28/10/2012
877;2012;24;Abu Dhabi Grand Prix;04/11/2012
878;2012;69;United States Grand Prix;18/11/2012
879;2012;18;Brazilian Grand Prix;25/11/2012
880;2013;1;Australian Grand Prix;17/03/2013
881;2013;2;Malaysian Grand Prix;24/03/2013
882;2013;17;Chinese Grand Prix;14/04/2013
883;2013;3;Bahrain Grand Prix;21/04/2013
884;2013;4;Spanish Grand Prix;12/05/2013
885;2013;6;Monaco Grand Prix;26/05/2013
886;2013;7;Canadian Grand Prix;09/06/2013
887;2013;9;British Grand Prix;30/06/2013
888;2013;20;German Grand Prix;07/07/2013
890;2013;11;Hungarian Grand Prix;28/07/2013
891;2013;13;Belgian Grand Prix;25/08/2013
892;2013;14;Italian Grand Prix;08/09/2013
893;2013;15;Singapore Grand Prix;22/09/2013
894;2013;35;Korean Grand Prix;06/10/2013
895;2013;22;Japanese Grand Prix;13/10/2013
896;2013;68;Indian Grand Prix;27/10/2013
897;2013;24;Abu Dhabi Grand Prix;03/11/2013
898;2013;69;United States Grand Prix;17/11/2013
899;2013;18;Brazilian Grand Prix;24/11/2013
900;2014;1;Australian Grand Prix;16/03/2014
901;2014;2;Malaysian Grand Prix;30/03/2014
902;2014;3;Bahrain Grand Prix;06/04/2014
903;2014;17;Chinese Grand Prix;20/04/2014
904;2014;4;Spanish Grand Prix;11/05/2014
905;2014;6;Monaco Grand Prix;25/05/2014
906;2014;7;Canadian Grand Prix;08/06/2014
907;2014;70;Austrian Grand Prix;22/06/2014
908;2014;9;British Grand Prix;06/07/2014
909;2014;10;German Grand Prix;20/07/2014
910;2014;11;Hungarian Grand Prix;27/07/2014
911;2014;13;Belgian Grand Prix;24/08/2014
912;2014;14;Italian Grand Prix;07/09/2014
913;2014;15;Singapore Grand Prix;21/09/2014
914;2014;22;Japanese Grand Prix;05/10/2014
915;2014;71;Russian Grand Prix;12/10/2014
916;2014;69;United States Grand Prix;02/11/2014
917;2014;18;Brazilian Grand Prix;09/11/2014
918;2014;24;Abu Dhabi Grand Prix;23/11/2014
931;2015;6;Monaco Grand Prix;24/05/2015
932;2015;7;Canadian Grand Prix;07/06/2015
929;2015;3;Bahrain Grand Prix;19/04/2015
930;2015;4;Spanish Grand Prix;10/05/2015
928;2015;17;Chinese Grand Prix;12/04/2015
926;2015;1;Australian Grand Prix;15/03/2015
927;2015;2;Malaysian Grand Prix;29/03/2015
933;2015;70;Austrian Grand Prix;21/06/2015
934;2015;9;British Grand Prix;05/07/2015
936;2015;11;Hungarian Grand Prix;26/07/2015
937;2015;13;Belgian Grand Prix;23/08/2015
938;2015;14;Italian Grand Prix;06/09/2015
939;2015;15;Singapore Grand Prix;20/09/2015
940;2015;22;Japanese Grand Prix;27/09/2015
941;2015;71;Russian Grand Prix;11/10/2015
942;2015;69;United States Grand Prix;25/10/2015
